date,station,hour,passengers,passenger_count
2025-08-01,Aluva,06:00,224,224
2025-08-01,Aluva,07:00,1140,1140
2025-08-01,Aluva,08:00,734,734
2025-08-01,Aluva,09:00,728,728
2025-08-01,Aluva,10:00,262,262
2025-08-01,Aluva,11:00,289,289
2025-08-01,Aluva,12:00,292,292
2025-08-01,Aluva,13:00,638,638
2025-08-01,Aluva,14:00,408,408
2025-08-01,Aluva,15:00,170,170
2025-08-01,Aluva,16:00,588,588
2025-08-01,Aluva,17:00,970,970
2025-08-01,Aluva,18:00,696,696
2025-08-01,Aluva,19:00,862,862
2025-08-01,Aluva,20:00,490,490
2025-08-01,Aluva,21:00,545,545
2025-08-01,Aluva,22:00,256,256
2025-08-01,Kalamassery,06:00,254,254
2025-08-01,Kalamassery,07:00,996,996
2025-08-01,Kalamassery,08:00,544,544
2025-08-01,Kalamassery,09:00,930,930
2025-08-01,Kalamassery,10:00,514,514
2025-08-01,Kalamassery,11:00,706,706
2025-08-01,Kalamassery,12:00,197,197
2025-08-01,Kalamassery,13:00,671,671
2025-08-01,Kalamassery,14:00,447,447
2025-08-01,Kalamassery,15:00,337,337
2025-08-01,Kalamassery,16:00,463,463
2025-08-01,Kalamassery,17:00,1312,1312
2025-08-01,Kalamassery,18:00,1600,1600
2025-08-01,Kalamassery,19:00,386,386
2025-08-01,Kalamassery,20:00,378,378
2025-08-01,Kalamassery,21:00,270,270
2025-08-01,Kalamassery,22:00,793,793
2025-08-01,Edapally,06:00,533,533
2025-08-01,Edapally,07:00,480,480
2025-08-01,Edapally,08:00,544,544
2025-08-01,Edapally,09:00,262,262
2025-08-01,Edapally,10:00,527,527
2025-08-01,Edapally,11:00,123,123
2025-08-01,Edapally,12:00,279,279
2025-08-01,Edapally,13:00,447,447
2025-08-01,Edapally,14:00,476,476
2025-08-01,Edapally,15:00,360,360
2025-08-01,Edapally,16:00,226,226
2025-08-01,Edapally,17:00,1004,1004
2025-08-01,Edapally,18:00,1072,1072
2025-08-01,Edapally,19:00,654,654
2025-08-01,Edapally,20:00,440,440
2025-08-01,Edapally,21:00,398,398
2025-08-01,Edapally,22:00,731,731
2025-08-01,Kaloor,06:00,736,736
2025-08-01,Kaloor,07:00,792,792
2025-08-01,Kaloor,08:00,1170,1170
2025-08-01,Kaloor,09:00,1532,1532
2025-08-01,Kaloor,10:00,443,443
2025-08-01,Kaloor,11:00,125,125
2025-08-01,Kaloor,12:00,567,567
2025-08-01,Kaloor,13:00,154,154
2025-08-01,Kaloor,14:00,361,361
2025-08-01,Kaloor,15:00,191,191
2025-08-01,Kaloor,16:00,364,364
2025-08-01,Kaloor,17:00,414,414
2025-08-01,Kaloor,18:00,552,552
2025-08-01,Kaloor,19:00,574,574
2025-08-01,Kaloor,20:00,173,173
2025-08-01,Kaloor,21:00,413,413
2025-08-01,Kaloor,22:00,564,564
2025-08-01,Maharaja's,06:00,287,287
2025-08-01,Maharaja's,07:00,880,880
2025-08-01,Maharaja's,08:00,218,218
2025-08-01,Maharaja's,09:00,1168,1168
2025-08-01,Maharaja's,10:00,310,310
2025-08-01,Maharaja's,11:00,488,488
2025-08-01,Maharaja's,12:00,482,482
2025-08-01,Maharaja's,13:00,784,784
2025-08-01,Maharaja's,14:00,639,639
2025-08-01,Maharaja's,15:00,463,463
2025-08-01,Maharaja's,16:00,788,788
2025-08-01,Maharaja's,17:00,570,570
2025-08-01,Maharaja's,18:00,738,738
2025-08-01,Maharaja's,19:00,462,462
2025-08-01,Maharaja's,20:00,690,690
2025-08-01,Maharaja's,21:00,784,784
2025-08-01,Maharaja's,22:00,356,356
2025-08-01,Ernakulam South,06:00,341,341
2025-08-01,Ernakulam South,07:00,1600,1600
2025-08-01,Ernakulam South,08:00,1414,1414
2025-08-01,Ernakulam South,09:00,408,408
2025-08-01,Ernakulam South,10:00,795,795
2025-08-01,Ernakulam South,11:00,466,466
2025-08-01,Ernakulam South,12:00,689,689
2025-08-01,Ernakulam South,13:00,629,629
2025-08-01,Ernakulam South,14:00,568,568
2025-08-01,Ernakulam South,15:00,281,281
2025-08-01,Ernakulam South,16:00,170,170
2025-08-01,Ernakulam South,17:00,1128,1128
2025-08-01,Ernakulam South,18:00,948,948
2025-08-01,Ernakulam South,19:00,1112,1112
2025-08-01,Ernakulam South,20:00,278,278
2025-08-01,Ernakulam South,21:00,595,595
2025-08-01,Ernakulam South,22:00,273,273
2025-08-02,Aluva,06:00,410,410
2025-08-02,Aluva,07:00,1506,1506
2025-08-02,Aluva,08:00,518,518
2025-08-02,Aluva,09:00,924,924
2025-08-02,Aluva,10:00,185,185
2025-08-02,Aluva,11:00,239,239
2025-08-02,Aluva,12:00,432,432
2025-08-02,Aluva,13:00,708,708
2025-08-02,Aluva,14:00,133,133
2025-08-02,Aluva,15:00,282,282
2025-08-02,Aluva,16:00,729,729
2025-08-02,Aluva,17:00,402,402
2025-08-02,Aluva,18:00,448,448
2025-08-02,Aluva,19:00,626,626
2025-08-02,Aluva,20:00,185,185
2025-08-02,Aluva,21:00,145,145
2025-08-02,Aluva,22:00,666,666
2025-08-02,Kalamassery,06:00,218,218
2025-08-02,Kalamassery,07:00,266,266
2025-08-02,Kalamassery,08:00,460,460
2025-08-02,Kalamassery,09:00,1550,1550
2025-08-02,Kalamassery,10:00,365,365
2025-08-02,Kalamassery,11:00,474,474
2025-08-02,Kalamassery,12:00,229,229
2025-08-02,Kalamassery,13:00,762,762
2025-08-02,Kalamassery,14:00,187,187
2025-08-02,Kalamassery,15:00,259,259
2025-08-02,Kalamassery,16:00,245,245
2025-08-02,Kalamassery,17:00,1362,1362
2025-08-02,Kalamassery,18:00,518,518
2025-08-02,Kalamassery,19:00,504,504
2025-08-02,Kalamassery,20:00,657,657
2025-08-02,Kalamassery,21:00,545,545
2025-08-02,Kalamassery,22:00,623,623
2025-08-02,Edapally,06:00,206,206
2025-08-02,Edapally,07:00,1314,1314
2025-08-02,Edapally,08:00,808,808
2025-08-02,Edapally,09:00,650,650
2025-08-02,Edapally,10:00,480,480
2025-08-02,Edapally,11:00,157,157
2025-08-02,Edapally,12:00,371,371
2025-08-02,Edapally,13:00,714,714
2025-08-02,Edapally,14:00,587,587
2025-08-02,Edapally,15:00,420,420
2025-08-02,Edapally,16:00,558,558
2025-08-02,Edapally,17:00,1336,1336
2025-08-02,Edapally,18:00,290,290
2025-08-02,Edapally,19:00,1190,1190
2025-08-02,Edapally,20:00,367,367
2025-08-02,Edapally,21:00,173,173
2025-08-02,Edapally,22:00,446,446
2025-08-02,Kaloor,06:00,658,658
2025-08-02,Kaloor,07:00,554,554
2025-08-02,Kaloor,08:00,474,474
2025-08-02,Kaloor,09:00,858,858
2025-08-02,Kaloor,10:00,482,482
2025-08-02,Kaloor,11:00,495,495
2025-08-02,Kaloor,12:00,773,773
2025-08-02,Kaloor,13:00,632,632
2025-08-02,Kaloor,14:00,571,571
2025-08-02,Kaloor,15:00,423,423
2025-08-02,Kaloor,16:00,745,745
2025-08-02,Kaloor,17:00,1190,1190
2025-08-02,Kaloor,18:00,1418,1418
2025-08-02,Kaloor,19:00,1370,1370
2025-08-02,Kaloor,20:00,545,545
2025-08-02,Kaloor,21:00,762,762
2025-08-02,Kaloor,22:00,331,331
2025-08-02,Maharaja's,06:00,681,681
2025-08-02,Maharaja's,07:00,532,532
2025-08-02,Maharaja's,08:00,322,322
2025-08-02,Maharaja's,09:00,1190,1190
2025-08-02,Maharaja's,10:00,356,356
2025-08-02,Maharaja's,11:00,486,486
2025-08-02,Maharaja's,12:00,725,725
2025-08-02,Maharaja's,13:00,210,210
2025-08-02,Maharaja's,14:00,418,418
2025-08-02,Maharaja's,15:00,409,409
2025-08-02,Maharaja's,16:00,490,490
2025-08-02,Maharaja's,17:00,904,904
2025-08-02,Maharaja's,18:00,922,922
2025-08-02,Maharaja's,19:00,718,718
2025-08-02,Maharaja's,20:00,579,579
2025-08-02,Maharaja's,21:00,619,619
2025-08-02,Maharaja's,22:00,492,492
2025-08-02,Ernakulam South,06:00,179,179
2025-08-02,Ernakulam South,07:00,1382,1382
2025-08-02,Ernakulam South,08:00,382,382
2025-08-02,Ernakulam South,09:00,1156,1156
2025-08-02,Ernakulam South,10:00,740,740
2025-08-02,Ernakulam South,11:00,359,359
2025-08-02,Ernakulam South,12:00,715,715
2025-08-02,Ernakulam South,13:00,519,519
2025-08-02,Ernakulam South,14:00,730,730
2025-08-02,Ernakulam South,15:00,526,526
2025-08-02,Ernakulam South,16:00,577,577
2025-08-02,Ernakulam South,17:00,218,218
2025-08-02,Ernakulam South,18:00,584,584
2025-08-02,Ernakulam South,19:00,756,756
2025-08-02,Ernakulam South,20:00,609,609
2025-08-02,Ernakulam South,21:00,740,740
2025-08-02,Ernakulam South,22:00,595,595
2025-08-03,Aluva,06:00,422,422
2025-08-03,Aluva,07:00,392,392
2025-08-03,Aluva,08:00,504,504
2025-08-03,Aluva,09:00,330,330
2025-08-03,Aluva,10:00,102,102
2025-08-03,Aluva,11:00,246,246
2025-08-03,Aluva,12:00,415,415
2025-08-03,Aluva,13:00,91,91
2025-08-03,Aluva,14:00,474,474
2025-08-03,Aluva,15:00,121,121
2025-08-03,Aluva,16:00,358,358
2025-08-03,Aluva,17:00,231,231
2025-08-03,Aluva,18:00,502,502
2025-08-03,Aluva,19:00,792,792
2025-08-03,Aluva,20:00,453,453
2025-08-03,Aluva,21:00,164,164
2025-08-03,Aluva,22:00,309,309
2025-08-03,Kalamassery,06:00,178,178
2025-08-03,Kalamassery,07:00,288,288
2025-08-03,Kalamassery,08:00,342,342
2025-08-03,Kalamassery,09:00,734,734
2025-08-03,Kalamassery,10:00,219,219
2025-08-03,Kalamassery,11:00,435,435
2025-08-03,Kalamassery,12:00,154,154
2025-08-03,Kalamassery,13:00,85,85
2025-08-03,Kalamassery,14:00,352,352
2025-08-03,Kalamassery,15:00,152,152
2025-08-03,Kalamassery,16:00,213,213
2025-08-03,Kalamassery,17:00,802,802
2025-08-03,Kalamassery,18:00,746,746
2025-08-03,Kalamassery,19:00,752,752
2025-08-03,Kalamassery,20:00,213,213
2025-08-03,Kalamassery,21:00,359,359
2025-08-03,Kalamassery,22:00,292,292
2025-08-03,Edapally,06:00,357,357
2025-08-03,Edapally,07:00,830,830
2025-08-03,Edapally,08:00,673,673
2025-08-03,Edapally,09:00,675,675
2025-08-03,Edapally,10:00,322,322
2025-08-03,Edapally,11:00,228,228
2025-08-03,Edapally,12:00,108,108
2025-08-03,Edapally,13:00,150,150
2025-08-03,Edapally,14:00,115,115
2025-08-03,Edapally,15:00,321,321
2025-08-03,Edapally,16:00,271,271
2025-08-03,Edapally,17:00,592,592
2025-08-03,Edapally,18:00,162,162
2025-08-03,Edapally,19:00,631,631
2025-08-03,Edapally,20:00,465,465
2025-08-03,Edapally,21:00,439,439
2025-08-03,Edapally,22:00,471,471
2025-08-03,Kaloor,06:00,360,360
2025-08-03,Kaloor,07:00,177,177
2025-08-03,Kaloor,08:00,842,842
2025-08-03,Kaloor,09:00,416,416
2025-08-03,Kaloor,10:00,469,469
2025-08-03,Kaloor,11:00,365,365
2025-08-03,Kaloor,12:00,431,431
2025-08-03,Kaloor,13:00,355,355
2025-08-03,Kaloor,14:00,114,114
2025-08-03,Kaloor,15:00,325,325
2025-08-03,Kaloor,16:00,203,203
2025-08-03,Kaloor,17:00,226,226
2025-08-03,Kaloor,18:00,612,612
2025-08-03,Kaloor,19:00,382,382
2025-08-03,Kaloor,20:00,147,147
2025-08-03,Kaloor,21:00,198,198
2025-08-03,Kaloor,22:00,303,303
2025-08-03,Maharaja's,06:00,189,189
2025-08-03,Maharaja's,07:00,511,511
2025-08-03,Maharaja's,08:00,433,433
2025-08-03,Maharaja's,09:00,687,687
2025-08-03,Maharaja's,10:00,70,70
2025-08-03,Maharaja's,11:00,113,113
2025-08-03,Maharaja's,12:00,389,389
2025-08-03,Maharaja's,13:00,271,271
2025-08-03,Maharaja's,14:00,77,77
2025-08-03,Maharaja's,15:00,244,244
2025-08-03,Maharaja's,16:00,123,123
2025-08-03,Maharaja's,17:00,693,693
2025-08-03,Maharaja's,18:00,958,958
2025-08-03,Maharaja's,19:00,560,560
2025-08-03,Maharaja's,20:00,132,132
2025-08-03,Maharaja's,21:00,296,296
2025-08-03,Maharaja's,22:00,162,162
2025-08-03,Ernakulam South,06:00,139,139
2025-08-03,Ernakulam South,07:00,216,216
2025-08-03,Ernakulam South,08:00,676,676
2025-08-03,Ernakulam South,09:00,734,734
2025-08-03,Ernakulam South,10:00,447,447
2025-08-03,Ernakulam South,11:00,448,448
2025-08-03,Ernakulam South,12:00,102,102
2025-08-03,Ernakulam South,13:00,70,70
2025-08-03,Ernakulam South,14:00,352,352
2025-08-03,Ernakulam South,15:00,336,336
2025-08-03,Ernakulam South,16:00,148,148
2025-08-03,Ernakulam South,17:00,183,183
2025-08-03,Ernakulam South,18:00,913,913
2025-08-03,Ernakulam South,19:00,487,487
2025-08-03,Ernakulam South,20:00,273,273
2025-08-03,Ernakulam South,21:00,234,234
2025-08-03,Ernakulam South,22:00,110,110
2025-08-04,Aluva,06:00,160,160
2025-08-04,Aluva,07:00,1086,1086
2025-08-04,Aluva,08:00,1554,1554
2025-08-04,Aluva,09:00,776,776
2025-08-04,Aluva,10:00,154,154
2025-08-04,Aluva,11:00,795,795
2025-08-04,Aluva,12:00,247,247
2025-08-04,Aluva,13:00,425,425
2025-08-04,Aluva,14:00,483,483
2025-08-04,Aluva,15:00,378,378
2025-08-04,Aluva,16:00,567,567
2025-08-04,Aluva,17:00,1428,1428
2025-08-04,Aluva,18:00,916,916
2025-08-04,Aluva,19:00,1178,1178
2025-08-04,Aluva,20:00,428,428
2025-08-04,Aluva,21:00,158,158
2025-08-04,Aluva,22:00,361,361
2025-08-04,Kalamassery,06:00,123,123
2025-08-04,Kalamassery,07:00,784,784
2025-08-04,Kalamassery,08:00,1146,1146
2025-08-04,Kalamassery,09:00,382,382
2025-08-04,Kalamassery,10:00,690,690
2025-08-04,Kalamassery,11:00,309,309
2025-08-04,Kalamassery,12:00,609,609
2025-08-04,Kalamassery,13:00,584,584
2025-08-04,Kalamassery,14:00,695,695
2025-08-04,Kalamassery,15:00,682,682
2025-08-04,Kalamassery,16:00,170,170
2025-08-04,Kalamassery,17:00,214,214
2025-08-04,Kalamassery,18:00,524,524
2025-08-04,Kalamassery,19:00,1256,1256
2025-08-04,Kalamassery,20:00,691,691
2025-08-04,Kalamassery,21:00,663,663
2025-08-04,Kalamassery,22:00,661,661
2025-08-04,Edapally,06:00,723,723
2025-08-04,Edapally,07:00,1224,1224
2025-08-04,Edapally,08:00,466,466
2025-08-04,Edapally,09:00,1102,1102
2025-08-04,Edapally,10:00,495,495
2025-08-04,Edapally,11:00,353,353
2025-08-04,Edapally,12:00,657,657
2025-08-04,Edapally,13:00,403,403
2025-08-04,Edapally,14:00,613,613
2025-08-04,Edapally,15:00,755,755
2025-08-04,Edapally,16:00,681,681
2025-08-04,Edapally,17:00,316,316
2025-08-04,Edapally,18:00,436,436
2025-08-04,Edapally,19:00,1490,1490
2025-08-04,Edapally,20:00,147,147
2025-08-04,Edapally,21:00,323,323
2025-08-04,Edapally,22:00,521,521
2025-08-04,Kaloor,06:00,143,143
2025-08-04,Kaloor,07:00,754,754
2025-08-04,Kaloor,08:00,408,408
2025-08-04,Kaloor,09:00,1248,1248
2025-08-04,Kaloor,10:00,799,799
2025-08-04,Kaloor,11:00,348,348
